invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I362155,C266304,Female,64,Clothing,4,1200.32,Cash,24/07/2021,Metrocity
I296346,C570055,Male,30,Toys,5,179.2,Credit Card,8/4/2022,Metrocity
I200291,C160606,Female,42,Clothing,3,900.24,Cash,30/04/2021,Istinye Park
I105693,C139896,Female,38,Souvenir,5,58.65,Credit Card,13/05/2021,Metrocity
I191085,C350943,Female,50,Clothing,3,900.24,Cash,10/12/2022,Kanyon
I340256,C178584,Male,39,Books,2,30.3,Credit Card,24/03/2022,Zorlu Center
I501278,C188889,Female,21,Toys,4,143.36,Cash,28/08/2021,Istinye Park
I642574,C718793,Female,46,Food & Beverage,5,26.15,Credit Card,21/08/2022,Emaar Square Mall
I180870,C288195,Female,27,Souvenir,2,23.46,Credit Card,30/01/2023,Metropol AVM
I166338,C242235,Female,38,Food & Beverage,2,10.46,Debit Card,23/01/2022,Metropol AVM
I192172,C201409,Female,26,Food & Beverage,4,20.92,Cash,27/05/2021,Viaport Outlet
I160394,C334067,Male,56,Cosmetics,5,203.3,Cash,8/3/2022,Kanyon
I483119,C998660,Female,53,Cosmetics,4,162.64,Cash,28/09/2021,Kanyon
I555623,C327120,Female,64,Technology,5,5250,Credit Card,13/07/2021,Mall of Istanbul
I319897,C167540,Female,65,Food & Beverage,5,26.15,Debit Card,14/01/2023,Mall of Istanbul
I132762,C242980,Female,52,Food & Beverage,1,5.23,Debit Card,30/08/2022,Kanyon
I281430,C619472,Male,47,Clothing,1,300.08,Debit Card,16/03/2021,Metrocity
I144449,C170162,Male,42,Souvenir,1,11.73,Cash,15/10/2021,Cevahir AVM
I218491,C320544,Male,43,Clothing,2,600.16,Cash,1/10/2021,Cevahir AVM
I326416,C836499,Female,19,Food & Beverage,3,15.69,Cash,25/04/2022,Kanyon
I117017,C214600,Male,60,Cosmetics,2,81.32,Debit Card,12/12/2022,Istinye Park
I965163,C881816,Male,25,Shoes,5,3000.85,Credit Card,11/12/2021,Mall of Istanbul
I863776,C262097,Male,35,Food & Beverage,3,15.69,Debit Card,8/11/2022,Kanyon
I103442,C214259,Male,26,Food & Beverage,5,26.15,Cash,12/4/2021,Mall of Istanbul
I287196,C159805,Male,22,Food & Beverage,2,10.46,Credit Card,9/7/2021,Forum Istanbul
I264510,C155491,Female,46,Books,4,60.6,Credit Card,6/10/2022,Mall of Istanbul
I328294,C220812,Female,38,Clothing,5,1500.4,Debit Card,29/10/2021,Mall of Istanbul
I570004,C306008,Female,49,Food & Beverage,1,5.23,Cash,21/02/2022,Kanyon
I291058,C461713,Female,47,Cosmetics,2,81.32,Cash,25/01/2021,Mall of Istanbul
I273733,C363062,Female,62,Clothing,3,900.24,Cash,14/04/2021,Mall of Istanbul
I162422,C337330,Female,29,Cosmetics,5,203.3,Cash,25/06/2022,Kanyon
I185749,C214440,Male,36,Cosmetics,4,162.64,Credit Card,23/08/2022,Metrocity
I288996,C259019,Female,57,Clothing,4,1200.32,Credit Card,17/08/2021,Metrocity
I156320,C334064,Male,31,Cosmetics,5,203.3,Credit Card,4/11/2022,Viaport Outlet
I476469,C437835,Female,55,Books,4,60.6,Cash,8/2/2023,Mall of Istanbul
I354680,C799582,Female,69,Clothing,4,1200.32,Credit Card,12/1/2021,Emaar Square Mall
I204363,C262427,Male,21,Shoes,5,3000.85,Cash,5/2/2021,Mall of Istanbul
I313942,C262662,Male,62,Food & Beverage,2,10.46,Cash,7/2/2021,Kanyon
I868032,C180432,Female,50,Clothing,1,300.08,Credit Card,25/02/2023,Kanyon
I227995,C104915,Female,54,Cosmetics,3,121.98,Debit Card,25/03/2022,Mall of Istanbul
I286452,C314249,Male,55,Shoes,1,600.17,Cash,1/6/2022,Istinye Park
I128971,C103043,Male,42,Books,4,60.6,Cash,8/1/2022,Mall of Istanbul
I118700,C290206,Male,32,Clothing,5,1500.4,Debit Card,5/3/2023,Kanyon
I431647,C273625,Male,18,Toys,4,143.36,Credit Card,6/7/2022,Cevahir AVM
I314920,C201453,Female,60,Clothing,4,1200.32,Cash,18/05/2021,Forum Istanbul
I931007,C337113,Male,65,Cosmetics,1,40.66,Credit Card,15/04/2022,Kanyon
I134047,C312859,Male,54,Cosmetics,4,162.64,Credit Card,27/05/2021,Metrocity
I170688,C124074,Female,52,Food & Beverage,3,15.69,Cash,31/01/2022,Istinye Park
I215597,C214294,Female,42,Cosmetics,3,121.98,Debit Card,31/01/2023,Mall of Istanbul
I212619,C249908,Female,67,Shoes,1,600.17,Credit Card,1/3/2023,Mall of Istanbul
I177504,C113025,Female,22,Food & Beverage,1,5.23,Cash,12/8/2022,Cevahir AVM
I128424,C201155,Female,46,Food & Beverage,2,10.46,Cash,28/10/2021,Mall of Istanbul
I250096,C256620,Male,18,Technology,1,1050,Cash,27/08/2021,Istinye Park
I882126,C666777,Female,50,Technology,1,1050,Credit Card,24/03/2022,Emaar Square Mall
I304954,C322129,Female,45,Clothing,5,1500.4,Debit Card,8/3/2022,Kanyon
I560112,C239309,Male,47,Clothing,3,900.24,Credit Card,16/12/2021,Kanyon
I835337,C311978,Male,57,Clothing,4,1200.32,Credit Card,12/9/2022,Metrocity
I107551,C505172,Female,23,Clothing,4,1200.32,Credit Card,31/05/2021,Kanyon
I284435,C306474,Female,20,Clothing,1,300.08,Credit Card,5/2/2022,Kanyon
I590332,C230142,Male,52,Food & Beverage,3,15.69,Cash,3/2/2023,Mall of Istanbul
I271497,C202053,Male,64,Clothing,4,1200.32,Credit Card,19/06/2021,Mall of Istanbul
I206262,C150147,Male,38,Cosmetics,5,203.3,Debit Card,6/12/2021,Metropol AVM
I198292,C293899,Female,22,Clothing,3,900.24,Debit Card,7/5/2021,Emaar Square Mall
I333184,C386486,Female,25,Food & Beverage,1,5.23,Cash,31/08/2021,Emaar Square Mall
I309079,C174319,Female,32,Food & Beverage,2,10.46,Credit Card,3/3/2022,Mall of Istanbul
I252297,C179843,Female,20,Shoes,4,2400.68,Cash,5/3/2022,Kanyon
I110920,C177809,Female,56,Clothing,1,300.08,Credit Card,30/09/2022,Mall of Istanbul
I446540,C420391,Male,38,Clothing,3,900.24,Credit Card,22/12/2021,Metrocity
I332000,C550294,Female,58,Cosmetics,1,40.66,Cash,23/10/2022,Cevahir AVM
I148100,C111208,Female,67,Toys,2,71.68,Cash,2/10/2021,Kanyon
I275143,C310800,Male,58,Clothing,4,1200.32,Debit Card,12/10/2021,Kanyon
I104687,C260859,Female,20,Clothing,1,300.08,Credit Card,14/01/2023,Mall of Istanbul
I830151,C207412,Female,51,Clothing,3,900.24,Cash,5/6/2022,Mall of Istanbul
I254942,C178636,Female,56,Toys,2,71.68,Cash,11/1/2021,Mall of Istanbul
I256217,C681392,Male,45,Clothing,4,1200.32,Credit Card,11/10/2021,Kanyon
I658572,C183717,Female,63,Food & Beverage,2,10.46,Credit Card,9/12/2021,Metrocity
I259106,C303709,Female,28,Clothing,3,900.24,Credit Card,25/04/2021,Metropol AVM
I105561,C959220,Female,21,Souvenir,5,58.65,Credit Card,7/3/2023,Istinye Park
I978711,C726972,Female,35,Toys,4,143.36,Cash,24/09/2022,Forum Istanbul
I220077,C368670,Female,24,Cosmetics,3,121.98,Credit Card,31/05/2021,Emaar Square Mall
I142979,C286077,Male,69,Cosmetics,1,40.66,Cash,8/3/2022,Emaar Square Mall
I244790,C262168,Female,33,Clothing,4,1200.32,Debit Card,5/4/2022,Metropol AVM
I190964,C265379,Male,33,Clothing,1,300.08,Cash,19/07/2022,Istinye Park
I379485,C139065,Male,41,Technology,4,4200,Cash,14/05/2021,Viaport Outlet
I839837,C635290,Male,42,Technology,3,3150,Credit Card,25/03/2021,Kanyon
I626967,C436505,Female,65,Cosmetics,5,203.3,Cash,25/04/2021,Zorlu Center
I165390,C254843,Female,25,Clothing,1,300.08,Cash,28/09/2022,Forum Istanbul
I176030,C872480,Female,64,Clothing,3,900.24,Credit Card,8/3/2021,Metropol AVM
I235733,C100042,Female,28,Cosmetics,4,162.64,Cash,4/1/2022,Metrocity
I201621,C692947,Female,60,Toys,1,35.84,Debit Card,15/02/2023,Mall of Istanbul
I127979,C257554,Male,53,Food & Beverage,5,26.15,Debit Card,22/11/2022,Mall of Istanbul
I123479,C309340,Female,57,Cosmetics,4,162.64,Debit Card,26/10/2022,Metrocity
I129158,C313268,Male,58,Food & Beverage,2,10.46,Debit Card,29/06/2022,Metrocity
I313522,C102558,Female,62,Books,2,30.3,Cash,15/04/2022,Mall of Istanbul
I308862,C106188,Female,27,Cosmetics,5,203.3,Cash,2/6/2021,Metrocity
I270631,C273968,Male,31,Clothing,4,1200.32,Credit Card,9/11/2022,Mall of Istanbul
I110853,C316571,Male,23,Souvenir,3,35.19,Cash,3/6/2022,Metrocity
I835035,C217017,Female,38,Clothing,5,1500.4,Cash,2/7/2021,Cevahir AVM
I400476,C121181,Male,40,Cosmetics,1,40.66,Cash,9/7/2021,Viaport Outlet
I169057,C175962,Female,47,Clothing,1,300.08,Credit Card,14/02/2021,Kanyon
I134159,C213619,Female,61,Food & Beverage,5,26.15,Debit Card,20/09/2021,Metropol AVM
I260571,C334221,Female,22,Cosmetics,4,162.64,Credit Card,19/02/2023,Kanyon
I115244,C301477,Female,43,Cosmetics,3,121.98,Debit Card,24/04/2022,Metrocity
I257610,C863025,Female,43,Cosmetics,4,162.64,Credit Card,30/11/2022,Istinye Park
I972245,C269627,Female,39,Food & Beverage,5,26.15,Credit Card,5/1/2021,Cevahir AVM
I278116,C878861,Female,23,Cosmetics,5,203.3,Cash,28/12/2021,Istinye Park
I158141,C627397,Male,69,Toys,2,71.68,Cash,26/05/2022,Viaport Outlet
I240659,C313498,Male,64,Shoes,5,3000.85,Cash,24/04/2022,Emaar Square Mall
I156928,C324912,Female,36,Toys,4,143.36,Debit Card,27/05/2021,Mall of Istanbul
I193995,C180218,Female,50,Cosmetics,5,203.3,Debit Card,8/12/2021,Mall of Istanbul
I230878,C326651,Female,25,Shoes,3,1800.51,Cash,4/7/2022,Istinye Park
I215984,C383326,Female,60,Clothing,1,300.08,Debit Card,16/09/2022,Forum Istanbul
I198543,C258239,Male,23,Food & Beverage,2,10.46,Cash,8/4/2022,Kanyon
I166130,C268019,Female,46,Cosmetics,5,203.3,Debit Card,17/11/2022,Istinye Park
I259225,C270130,Male,24,Toys,4,143.36,Credit Card,22/04/2021,Metrocity
I318996,C198960,Male,34,Shoes,2,1200.34,Cash,5/4/2022,Mall of Istanbul
I228513,C337880,Male,29,Books,4,60.6,Debit Card,29/06/2022,Metrocity
I291665,C331247,Female,20,Clothing,5,1500.4,Credit Card,6/6/2022,Istinye Park
I914590,C141574,Male,33,Cosmetics,4,162.64,Debit Card,2/4/2022,Mall of Istanbul
I102847,C123536,Male,51,Souvenir,3,35.19,Debit Card,9/3/2022,Kanyon
I320911,C331686,Male,33,Books,5,75.75,Credit Card,1/3/2022,Mall of Istanbul
I307028,C412619,Female,48,Clothing,5,1500.4,Debit Card,17/10/2021,Istinye Park
I201663,C829234,Female,67,Toys,5,179.2,Cash,5/3/2023,Viaport Outlet
I311118,C848071,Male,47,Food & Beverage,5,26.15,Cash,13/07/2022,Kanyon
I162866,C384212,Male,43,Food & Beverage,1,5.23,Credit Card,14/11/2021,Metropol AVM
I234508,C694918,Female,31,Clothing,3,900.24,Debit Card,17/09/2021,Metrocity
I314374,C312788,Female,41,Food & Beverage,1,5.23,Credit Card,5/6/2021,Metropol AVM
I128126,C247155,Male,36,Toys,1,35.84,Cash,21/08/2021,Mall of Istanbul
I328150,C554027,Female,52,Shoes,2,1200.34,Cash,12/10/2022,Mall of Istanbul
I581808,C225343,Female,62,Books,2,30.3,Cash,7/3/2023,Mall of Istanbul
I312828,C529915,Female,30,Toys,1,35.84,Credit Card,16/02/2023,Mall of Istanbul
I160693,C326856,Female,21,Shoes,4,2400.68,Credit Card,26/02/2021,Viaport Outlet
I343281,C165521,Female,68,Cosmetics,1,40.66,Credit Card,31/01/2023,Mall of Istanbul
I321631,C224120,Female,55,Clothing,1,300.08,Cash,29/11/2022,Metropol AVM
I790809,C281828,Female,43,Books,1,15.15,Cash,2/9/2021,Kanyon
I140798,C823992,Male,46,Food & Beverage,2,10.46,Credit Card,24/01/2023,Mall of Istanbul
I205876,C114675,Female,32,Food & Beverage,5,26.15,Cash,7/8/2022,Istinye Park
I771145,C940425,Male,44,Clothing,2,600.16,Cash,5/8/2021,Viaport Outlet
I170185,C106681,Male,56,Food & Beverage,3,15.69,Debit Card,14/07/2021,Kanyon
I311548,C174813,Female,50,Souvenir,5,58.65,Credit Card,8/12/2022,Istinye Park
I197877,C593773,Male,58,Clothing,1,300.08,Debit Card,11/10/2021,Viaport Outlet
I198351,C835956,Female,67,Clothing,4,1200.32,Credit Card,21/03/2022,Metropol AVM
I360730,C114837,Female,44,Food & Beverage,4,20.92,Cash,29/10/2021,Metrocity
I257350,C288120,Male,26,Clothing,5,1500.4,Cash,2/4/2022,Kanyon
I221046,C170201,Female,30,Food & Beverage,2,10.46,Credit Card,22/05/2022,Forum Istanbul
I212279,C171062,Female,65,Clothing,2,600.16,Cash,21/05/2022,Metrocity
I118460,C361054,Female,18,Clothing,3,900.24,Cash,27/11/2022,Mall of Istanbul
I350145,C248333,Male,43,Clothing,5,1500.4,Credit Card,1/6/2021,Mall of Istanbul
I149474,C153564,Male,45,Food & Beverage,2,10.46,Debit Card,19/11/2021,Mall of Istanbul
I270351,C271289,Female,29,Souvenir,5,58.65,Cash,13/02/2023,Kanyon
I255690,C150008,Female,29,Clothing,1,300.08,Credit Card,16/07/2021,Viaport Outlet
I457859,C106742,Male,44,Cosmetics,4,162.64,Debit Card,8/11/2022,Metrocity
I171150,C762932,Female,46,Cosmetics,4,162.64,Credit Card,7/11/2021,Metrocity
I848228,C678733,Female,46,Clothing,4,1200.32,Credit Card,24/07/2021,Kanyon
I237312,C234947,Female,69,Clothing,1,300.08,Credit Card,12/10/2021,Metropol AVM
I330804,C328915,Female,30,Clothing,4,1200.32,Cash,26/02/2023,Metrocity
I182838,C281392,Male,19,Souvenir,5,58.65,Cash,21/02/2022,Kanyon
I669065,C167159,Male,33,Books,4,60.6,Debit Card,13/10/2022,Kanyon
I744491,C139370,Female,53,Technology,3,3150,Cash,24/04/2021,Metropol AVM
I176424,C212249,Female,67,Clothing,1,300.08,Cash,24/07/2022,Mall of Istanbul
I319589,C810849,Female,32,Toys,3,107.52,Credit Card,17/10/2021,Metropol AVM
I108671,C129992,Male,27,Toys,5,179.2,Cash,2/11/2022,Kanyon
I263894,C306042,Female,27,Cosmetics,3,121.98,Cash,27/12/2022,Kanyon
I281948,C163852,Female,24,Cosmetics,4,162.64,Cash,28/10/2021,Viaport Outlet
I210047,C123726,Female,28,Clothing,4,1200.32,Cash,17/01/2023,Zorlu Center
I155519,C223302,Male,50,Technology,3,3150,Cash,1/11/2021,Viaport Outlet
I283155,C167467,Male,27,Clothing,4,1200.32,Credit Card,22/07/2021,Mall of Istanbul
I241226,C106702,Male,60,Books,5,75.75,Cash,11/12/2021,Kanyon
I284017,C248481,Male,23,Souvenir,1,11.73,Cash,20/09/2022,Mall of Istanbul
I222385,C187479,Female,66,Food & Beverage,1,5.23,Credit Card,3/3/2022,Viaport Outlet
I115298,C548613,Female,67,Books,4,60.6,Credit Card,11/1/2023,Istinye Park
I222031,C187424,Female,26,Clothing,1,300.08,Credit Card,6/12/2021,Viaport Outlet
I279014,C126254,Female,33,Shoes,3,1800.51,Credit Card,5/5/2021,Viaport Outlet
I164032,C583809,Female,22,Technology,5,5250,Cash,14/10/2021,Metropol AVM
I759949,C878889,Male,64,Clothing,4,1200.32,Cash,28/11/2022,Metropol AVM
I564755,C604248,Female,54,Food & Beverage,2,10.46,Credit Card,2/1/2023,Mall of Istanbul
I284211,C150146,Female,22,Technology,3,3150,Cash,4/5/2021,Viaport Outlet
I651558,C252862,Female,62,Clothing,5,1500.4,Credit Card,17/10/2022,Istinye Park
I170556,C252865,Female,22,Clothing,4,1200.32,Debit Card,9/10/2022,Cevahir AVM
I115970,C280157,Female,54,Cosmetics,4,162.64,Cash,12/12/2021,Metropol AVM
I160757,C712134,Male,42,Shoes,4,2400.68,Cash,29/03/2022,Metropol AVM
I198951,C158677,Male,69,Clothing,1,300.08,Debit Card,25/03/2021,Kanyon
I107526,C273991,Male,35,Cosmetics,4,162.64,Debit Card,21/06/2021,Mall of Istanbul
I993940,C517712,Female,32,Toys,5,179.2,Credit Card,5/10/2022,Kanyon
I323763,C182439,Male,22,Cosmetics,4,162.64,Cash,21/02/2022,Mall of Istanbul
I945284,C110199,Female,20,Cosmetics,2,81.32,Cash,17/01/2022,Zorlu Center
I334992,C204731,Female,52,Shoes,4,2400.68,Cash,2/3/2021,Emaar Square Mall
I339386,C164550,Female,43,Food & Beverage,5,26.15,Cash,2/4/2021,Metrocity
I127625,C150774,Female,52,Clothing,3,900.24,Credit Card,13/02/2023,Istinye Park
I128401,C750603,Female,43,Toys,1,35.84,Cash,25/05/2022,Cevahir AVM
I615395,C277647,Female,21,Cosmetics,3,121.98,Cash,7/9/2021,Cevahir AVM
I290683,C109808,Female,48,Clothing,2,600.16,Credit Card,6/11/2021,Mall of Istanbul
I412358,C976790,Female,24,Shoes,1,600.17,Cash,4/3/2022,Metrocity
I210615,C188250,Female,56,Cosmetics,1,40.66,Debit Card,24/05/2022,Kanyon
I992294,C125341,Male,48,Clothing,1,300.08,Credit Card,7/6/2022,Istinye Park
I322294,C624228,Female,47,Food & Beverage,3,15.69,Cash,4/12/2022,Kanyon
I109107,C191215,Male,45,Toys,2,71.68,Cash,20/12/2022,Emaar Square Mall
I255933,C261323,Male,45,Clothing,1,300.08,Cash,13/02/2023,Istinye Park
I158970,C148717,Male,50,Souvenir,1,11.73,Credit Card,16/05/2021,Metropol AVM
I950869,C180311,Male,39,Food & Beverage,3,15.69,Credit Card,24/02/2021,Cevahir AVM
I137754,C275892,Male,40,Food & Beverage,2,10.46,Cash,3/3/2022,Zorlu Center
I181111,C204836,Female,43,Food & Beverage,1,5.23,Credit Card,19/02/2023,Istinye Park
I598721,C130853,Female,57,Clothing,3,900.24,Credit Card,25/02/2022,Zorlu Center
I105356,C237583,Female,52,Clothing,5,1500.4,Debit Card,14/07/2022,Mall of Istanbul
I224887,C734641,Female,18,Clothing,2,600.16,Credit Card,18/01/2022,Metrocity
I602794,C174068,Female,43,Food & Beverage,3,15.69,Credit Card,28/05/2021,Emaar Square Mall
I194272,C236218,Female,58,Technology,3,3150,Credit Card,22/09/2022,Mall of Istanbul
I203257,C301038,Female,41,Books,1,15.15,Credit Card,7/4/2022,Metrocity
I125092,C279243,Female,55,Books,4,60.6,Cash,29/05/2022,Kanyon
I322685,C279015,Female,36,Cosmetics,4,162.64,Credit Card,12/8/2022,Istinye Park
I327143,C128535,Female,67,Clothing,3,900.24,Debit Card,3/5/2021,Mall of Istanbul
I162140,C291122,Male,31,Cosmetics,3,121.98,Debit Card,16/06/2021,Mall of Istanbul
I183914,C329941,Male,27,Cosmetics,2,81.32,Cash,28/07/2022,Kanyon
I327074,C259691,Female,66,Cosmetics,4,162.64,Cash,25/08/2022,Kanyon
I121762,C133774,Male,28,Toys,1,35.84,Cash,5/11/2021,Metrocity
I225588,C324208,Female,26,Food & Beverage,1,5.23,Cash,26/07/2021,Forum Istanbul
I102893,C264654,Male,66,Cosmetics,5,203.3,Credit Card,3/8/2022,Kanyon
I174568,C334857,Female,49,Technology,3,3150,Cash,29/12/2021,Emaar Square Mall
I664974,C205860,Male,35,Food & Beverage,3,15.69,Credit Card,17/03/2021,Emaar Square Mall
I115765,C332748,Male,31,Food & Beverage,2,10.46,Cash,28/09/2021,Mall of Istanbul
I186030,C296222,Female,64,Clothing,2,600.16,Credit Card,22/03/2021,Metropol AVM
I272289,C137804,Female,23,Shoes,5,3000.85,Credit Card,11/12/2021,Istinye Park
I286628,C228182,Female,18,Clothing,4,1200.32,Debit Card,25/11/2022,Kanyon
I187846,C879032,Female,55,Clothing,1,300.08,Cash,22/01/2022,Kanyon
I258420,C305920,Male,28,Technology,5,5250,Credit Card,10/8/2022,Metrocity
I127550,C249204,Female,49,Food & Beverage,5,26.15,Cash,11/2/2023,Mall of Istanbul
I312964,C255670,Female,51,Technology,2,2100,Debit Card,22/07/2022,Metrocity
I306022,C241781,Male,59,Clothing,5,1500.4,Cash,31/07/2021,Mall of Istanbul
I264390,C235608,Female,39,Shoes,5,3000.85,Credit Card,20/05/2022,Forum Istanbul
I245860,C157456,Female,55,Toys,3,107.52,Credit Card,10/4/2022,Metropol AVM
I704738,C485843,Female,31,Clothing,1,300.08,Cash,29/12/2021,Metropol AVM
I212875,C332288,Female,30,Toys,3,107.52,Cash,11/2/2022,Forum Istanbul
I108931,C160341,Female,47,Clothing,5,1500.4,Cash,13/04/2021,Kanyon
I305697,C109177,Male,64,Cosmetics,5,203.3,Cash,26/05/2022,Cevahir AVM
I120521,C713853,Female,44,Food & Beverage,2,10.46,Credit Card,15/06/2021,Mall of Istanbul
I272987,C196600,Female,59,Clothing,2,600.16,Debit Card,19/10/2021,Mall of Istanbul
I139450,C401625,Female,26,Toys,3,107.52,Cash,3/6/2021,Istinye Park
I113090,C319378,Female,57,Books,1,15.15,Cash,28/03/2022,Metrocity
I155936,C221380,Female,40,Clothing,2,600.16,Cash,21/06/2022,Mall of Istanbul
I124825,C246525,Female,50,Clothing,4,1200.32,Cash,5/2/2021,Kanyon
I186101,C102287,Female,28,Clothing,1,300.08,Debit Card,30/10/2022,Kanyon
I288544,C114580,Male,36,Souvenir,2,23.46,Cash,9/2/2021,Forum Istanbul
I151380,C677220,Male,56,Clothing,4,1200.32,Credit Card,20/10/2022,Mall of Istanbul
I128714,C194459,Male,48,Cosmetics,5,203.3,Credit Card,16/09/2021,Mall of Istanbul
I328275,C220118,Female,48,Food & Beverage,5,26.15,Cash,12/8/2022,Istinye Park
I656656,C120796,Female,34,Food & Beverage,4,20.92,Cash,24/02/2021,Zorlu Center
I230959,C581525,Male,57,Technology,1,1050,Debit Card,31/10/2022,Mall of Istanbul
I189352,C454555,Male,58,Books,1,15.15,Credit Card,1/5/2022,Kanyon
I159817,C203342,Female,64,Shoes,2,1200.34,Credit Card,2/9/2021,Istinye Park
I298235,C886917,Male,49,Clothing,5,1500.4,Cash,28/04/2021,Zorlu Center
I274835,C224926,Male,37,Food & Beverage,2,10.46,Cash,24/04/2021,Metrocity
I142645,C197596,Female,48,Shoes,2,1200.34,Cash,17/07/2022,Istinye Park
I192058,C173178,Male,38,Technology,1,1050,Debit Card,15/02/2022,Emaar Square Mall
I761239,C161242,Male,28,Clothing,3,900.24,Cash,6/6/2022,Mall of Istanbul
I290861,C254645,Female,35,Clothing,2,600.16,Cash,8/11/2022,Mall of Istanbul
I169021,C321248,Male,27,Toys,2,71.68,Cash,28/08/2022,Metropol AVM
I163480,C208918,Female,48,Shoes,1,600.17,Credit Card,26/11/2022,Emaar Square Mall
I167255,C203329,Female,54,Clothing,2,600.16,Credit Card,4/3/2022,Metrocity
I319323,C199265,Male,43,Cosmetics,4,162.64,Cash,12/6/2022,Istinye Park
I240490,C294593,Female,46,Clothing,3,900.24,Cash,13/05/2021,Kanyon
I474832,C582838,Female,33,Clothing,4,1200.32,Debit Card,6/10/2022,Kanyon
I195676,C927128,Female,25,Food & Beverage,2,10.46,Cash,2/1/2021,Metrocity
I923299,C315819,Female,23,Souvenir,3,35.19,Cash,26/07/2021,Mall of Istanbul
I338571,C318295,Female,30,Books,3,45.45,Cash,13/12/2022,Kanyon
I237826,C147717,Male,45,Shoes,5,3000.85,Credit Card,3/2/2022,Metrocity
I629536,C318740,Female,62,Clothing,4,1200.32,Credit Card,13/08/2021,Cevahir AVM
I177461,C119090,Male,39,Toys,4,143.36,Cash,12/1/2023,Mall of Istanbul
I118150,C142817,Female,42,Clothing,3,900.24,Cash,9/8/2021,Mall of Istanbul
I826608,C219940,Male,41,Food & Beverage,2,10.46,Cash,2/11/2022,Viaport Outlet
I232771,C689232,Male,44,Food & Beverage,4,20.92,Debit Card,17/12/2022,Kanyon
I146898,C825004,Male,18,Books,3,45.45,Credit Card,5/4/2022,Metrocity
I217482,C245818,Male,38,Books,4,60.6,Debit Card,2/6/2021,Istinye Park
I191132,C189299,Female,42,Cosmetics,1,40.66,Cash,29/09/2021,Metropol AVM
I444770,C105702,Female,34,Technology,4,4200,Cash,21/01/2022,Metropol AVM
I248556,C259293,Female,47,Souvenir,1,11.73,Credit Card,7/6/2021,Kanyon
I192756,C946793,Female,23,Clothing,3,900.24,Cash,15/11/2022,Kanyon
I210115,C970822,Male,42,Technology,5,5250,Credit Card,21/02/2023,Kanyon
I138355,C187454,Male,66,Food & Beverage,2,10.46,Cash,25/01/2023,Zorlu Center
I875445,C133940,Female,21,Books,2,30.3,Cash,30/11/2022,Kanyon
I140364,C147988,Female,23,Clothing,3,900.24,Cash,10/1/2022,Kanyon
I107012,C179250,Male,29,Clothing,2,600.16,Credit Card,21/05/2021,Mall of Istanbul
I101489,C287411,Male,56,Toys,1,35.84,Credit Card,14/03/2022,Zorlu Center
I134310,C252070,Male,57,Clothing,2,600.16,Debit Card,31/03/2021,Cevahir AVM
I146023,C264366,Male,51,Clothing,2,600.16,Credit Card,3/8/2022,Kanyon
I287379,C307011,Female,48,Technology,4,4200,Credit Card,4/8/2021,Kanyon
I258935,C252745,Male,61,Clothing,2,600.16,Debit Card,18/01/2021,Mall of Istanbul
I302123,C172146,Female,32,Clothing,5,1500.4,Cash,4/1/2021,Cevahir AVM
I117773,C306407,Female,51,Clothing,4,1200.32,Credit Card,12/11/2022,Metropol AVM
I246260,C285707,Female,55,Food & Beverage,4,20.92,Cash,8/1/2023,Istinye Park
I293624,C801054,Male,33,Clothing,4,1200.32,Credit Card,30/10/2021,Istinye Park
I200988,C264575,Female,55,Souvenir,5,58.65,Cash,16/03/2021,Cevahir AVM
I172198,C104600,Female,51,Shoes,5,3000.85,Debit Card,22/09/2021,Istinye Park
I235381,C146723,Male,55,Food & Beverage,5,26.15,Cash,5/3/2022,Zorlu Center
I212775,C208025,Female,35,Cosmetics,1,40.66,Cash,21/04/2021,Emaar Square Mall
I194385,C201802,Male,30,Clothing,5,1500.4,Cash,23/04/2021,Emaar Square Mall
I323273,C626071,Female,30,Cosmetics,2,81.32,Cash,10/6/2022,Metrocity
I333047,C251560,Female,69,Cosmetics,3,121.98,Debit Card,7/3/2023,Cevahir AVM
I240031,C113472,Female,28,Food & Beverage,3,15.69,Credit Card,21/01/2023,Viaport Outlet
I258668,C116678,Female,48,Cosmetics,3,121.98,Credit Card,30/08/2021,Istinye Park
I257147,C213745,Female,60,Technology,3,3150,Credit Card,14/07/2021,Emaar Square Mall
I127662,C792873,Male,24,Clothing,4,1200.32,Credit Card,28/10/2021,Istinye Park
I140680,C137734,Female,66,Cosmetics,2,81.32,Cash,29/01/2023,Viaport Outlet
I297389,C651035,Female,45,Clothing,2,600.16,Credit Card,27/02/2021,Emaar Square Mall
I236661,C330312,Male,60,Shoes,4,2400.68,Credit Card,12/11/2022,Kanyon
I193132,C446416,Female,68,Books,2,30.3,Debit Card,15/09/2022,Kanyon
I184400,C549520,Female,32,Clothing,5,1500.4,Credit Card,20/02/2023,Kanyon
I553014,C211141,Female,19,Clothing,5,1500.4,Credit Card,26/10/2022,Kanyon
I305872,C625322,Female,27,Toys,1,35.84,Debit Card,15/11/2022,Forum Istanbul
I246823,C463383,Male,33,Toys,4,143.36,Debit Card,24/10/2022,Metrocity
I328603,C276728,Male,50,Toys,3,107.52,Cash,23/07/2021,Metrocity
I292632,C304597,Female,31,Shoes,2,1200.34,Debit Card,10/1/2022,Mall of Istanbul
